0,iw7_ake_zml,wall upgrade,,,weapon_e_ak47_legendary_wm_camo
1,iw7_cheytacc_zm,wall upgrade,,,weapon_m200_wm_camo
2,iw7_crdb_zm,magic upgrade,,,weapon_crdb_wm_camo
3,iw7_fmg_zm,magic upgrade,,,weapon_fmg_wm_camo
4,iw7_g18c_zm,wall upgrade,,,weapon_g18_wm_camo
5,iw7_lockon_zm,wall upgrade,,,weapon_launcher_wm_camo
6,iw7_m1c_zm,magic upgrade,,,weapon_m1_wm_camo
7,iw7_minilmg_zm,magic upgrade,,,weapon_minigun_wm_camo
8,iw7_mp28_zm,wall upgrade,,,weapon_mp28_wm_camo
9,iw7_spasc_zm,wall upgrade,,,weapon_spas12_wm_camo
10,iw7_ump45c_zm,wall upgrade,,,weapon_ump_wm_camo
11,iw7_vr_zm,magic upgrade,,,weapon_vr_rifle_mp_wm_camo
12,iw7_ar57_zm,magic upgrade,,,weapon_ar57_wm_camo
13,iw7_arclassic_zm,wall upgrade,,,weapon_arx160iw7_wm_camo
14,iw7_chargeshot_zm,magic upgrade,,,weapon_chargeshot_vm_camo
15,iw7_cheytac_zmr,magic upgrade,,,weapon_m200_rare_wm_camo
16,iw7_crb_zml,wall upgrade,,,weapon_kbcrb_legendary_wm_camo
17,iw7_devastator_zm,magic upgrade,,,weapon_devastator_wm_camo
18,iw7_emc_zm,magic upgrade,,,weapon_emc_wm_camo
19,iw7_erad_zm,wall upgrade,,,weapon_erad_wm_camo
20,iw7_fhr_zm,magic upgrade,,,weapon_fhr40_wm_camo
21,iw7_g18_zmr,magic upgrade,,,weapon_g18_rare_wm_camo
22,iw7_glprox_zm,magic upgrade,,,weapon_grenadelauncher_vm_camo
23,iw7_kbs_zm,magic upgrade,,,weapon_kbsniper_wm_camo
24,iw7_lmg03_zm,magic upgrade,,,weapon_sdflmg_legendary_wm_camo
25,iw7_m1_zm,magic upgrade,,,weapon_m1_legendary_wm_camo
26,iw7_m4_zm,magic upgrade,,,weapon_kb_m4_wm_camo
27,iw7_m8_zm,magic upgrade,,,weapon_m8_garand_wm_camo
28,iw7_mauler_zm,magic upgrade,,,weapon_lmgturret_wm_camo
29,iw7_nrg_zm,magic upgrade,,,weapon_nrgpistol_wm_camo
30,iw7_revolver_zm,wall upgrade,,,weapon_revolver_wm_camo
31,iw7_ripper_zmr,magic upgrade,,,weapon_ripper_rare_wm_camo
32,iw7_rvn_zm,wall upgrade,,,weapon_rvn_wm_camo
33,iw7_sdfar_zm,magic upgrade,,,weapon_sdfar_wm_camo
34,iw7_sdflmg_zm,magic upgrade,,,weapon_sdflmg_wm_camo
35,iw7_sdfshotty_zm,magic upgrade,,,weapon_sdfshotty_wm_camo
36,iw7_sonic_zmr,magic upgrade,,,weapon_sonicshotgun_rare_wm_camo
37,iw7_spas_zmr,magic upgrade,,,weapon_spas12_rare_wm_camo
38,iw7_udm45_zm,wall upgrade,,,weapon_udm45_wm_camo
39,iw7_ump45_zml,magic upgrade,,,weapon_ump_legendary_wm_camo
40,iw7_knife_zm_cleaver,wall,,,zmb_meat_cleaver_wm
41,iw7_knife_zm_crowbar,wall,,,zmb_crowbar_wm
42,iw7_cutie_zm,wall,,,weapon_zmb_raygun_wm
43,iw7_mod2187_zm,magic upgrade,,,weapon_1887_wm_camo
44,iw7_ba50cal_zm,magic upgrade,,,weapon_dbl50_wm_camo
45,iw7_longshot_zm,magic upgrade,,,weapon_shotgun_sniper_wm_camo
46,iw7_mag_zm,magic upgrade,,,weapon_magnum_wm
47,iw7_gauss_zm,magic upgrade,,,weapon_gaussgun_wm_camo
48,iw7_tacburst_zm,magic upgrade,,,weapon_tac_burst_wm_camo
49,iw7_unsalmg_zm,magic upgrade,,,weapon_saw_wm_camo
