"1,5,9,4"
"1,5,9,12"
"1,5,9,2"
"1,5,4,12"
"1,5,4,2"
"1,5,12,2"
"5,9,4,12"
"5,9,4,2"
"5,9,12,2"
"5,4,12,2"
"2,6,10,3"
"2,6,3,11"
"2,6,3,5"
"2,10,3,11"
"2,10,3,5"
"2,3,11,5"
"3,7,11,6"
"3,7,11,5"
"3,7,11,9"
"3,7,6,5"
"3,7,6,9"
"3,7,5,9"
"3,11,6,9"
"3,11,5,9"
"3,6,5,9"
"7,11,6,9"
"7,11,5,9"
"7,6,5,9"
"11,6,5,9"
"4,8,12,9"
"4,8,12,1"
"4,8,12,2"
"4,8,9,1"
"4,8,9,2"
"4,8,1,2"
"8,12,9,1"
"8,12,9,2"
"8,12,1,2"
"8,9,1,2"
"4,3,10,11"
"4,3,10,5"
"4,3,10,6"
"4,3,11,5"
"4,3,11,6"
"4,3,5,6"
"4,10,11,5"
"4,10,11,6"
"4,10,5,6"
"4,11,5,6"
"2,7,10,6"
"2,7,10,11"
"2,7,10,5"
"2,7,6,11"
"2,7,6,5"
"2,7,11,5"
"7,10,6,11"
"7,10,6,5"
"7,10,11,5"
